Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,VAT Registration Number
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,33259929,-118932,654425730
Department of Health,NHS Stockport CCG,7/31/2020,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,SURECARE (UK) LTD,33275352,4765.71,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,SURECARE (UK) LTD,33275352,20247.72,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,FUTURE DIRECTIONS CIC,33291871,-243327.78,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,HOSPICES,ST ANNES HOSPICE,33307034,280649.25,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,FUTURE DIRECTIONS CIC,33333206,33155.03,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,FUTURE DIRECTIONS CIC,33333222,33155.03,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,FUTURE DIRECTIONS CIC,33333225,31016,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,FUTURE DIRECTIONS CIC,33333233,33155.03,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,FUTURE DIRECTIONS CIC,33333239,32085.51,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,FUTURE DIRECTIONS CIC,33333244,33155.06,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,FUTURE DIRECTIONS CIC,33333261,33155.06,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET (DH) LTD,33333322,28704,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,FUTURE DIRECTIONS CIC,33333350,33155.06,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,SELF HELP SERVICES,33333572,45161.17,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Healthcare Srv Rec CCG,PROGRAMME PROJECTS,NHS BOLTON CCG,33368685,48386,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Cont Care-Physical Disab (65+),CHC ADULT JOINT FUNDED,CHURCH WALK HEALTH CARE LTD,33383205,-32156.71,"""-"""
